lesson_id,lesson_version,event_type,event_date,anchor_gold_date,alignment_method,gold_close_at_event,release_timestamp,cpi_value,previous_cpi_value,cpi_change_pct,cpi_pressure,gold_close_t_plus_1d,gold_return_1d_pct,gold_direction_1d,gold_close_t_plus_5d,gold_return_5d_pct,gold_direction_5d,gold_close_t_plus_20d,gold_return_20d_pct,gold_direction_20d,primary_horizon_days,lesson_text
CPI_GOLD_2022-01-01,cpi_gold_v1,CPI,2022-01-01,2022-02-09,first_gold_session_on_or_after_release_timestamp,1835.199951,2022-02-09T08:30:00,282.543,280.845,0.604604,inflation_pressure_up,1836.199951,0.05449,FLAT,1870.199951,1.907149,UP,1998.099976,8.876418,UP,20,"After CPI changed by 0.604604% on 2022-01-01, gold moved 8.876418% over 20 trading days (UP)."
CPI_GOLD_2022-02-01,cpi_gold_v1,CPI,2022-02-01,2022-03-09,first_gold_session_on_or_after_release_timestamp,1985.900024,2022-03-09T08:30:00,284.5,282.543,0.692638,inflation_pressure_up,1998.099976,0.614329,UP,1908.0,-3.922656,DOWN,1918.400024,-3.398963,DOWN,5,"After CPI changed by 0.692638% on 2022-02-01, gold moved -3.922656% over 5 trading days (DOWN)."
CPI_GOLD_2022-03-01,cpi_gold_v1,CPI,2022-03-01,2022-04-13,first_gold_session_on_or_after_release_timestamp,1981.0,2022-04-13T08:30:00,287.674,284.5,1.115641,inflation_pressure_up,1970.900024,-0.509842,DOWN,1944.900024,-1.822311,DOWN,1823.800049,-7.935384,DOWN,20,"After CPI changed by 1.115641% on 2022-03-01, gold moved -7.935384% over 20 trading days (DOWN)."
CPI_GOLD_2022-04-01,cpi_gold_v1,CPI,2022-04-01,2022-05-11,first_gold_session_on_or_after_release_timestamp,1852.599976,2022-05-11T08:30:00,288.561,287.674,0.308335,inflation_pressure_up,1823.800049,-1.554568,DOWN,1815.900024,-1.980997,DOWN,1848.800049,-0.205113,DOWN,5,"After CPI changed by 0.308335% on 2022-04-01, gold moved -1.980997% over 5 trading days (DOWN)."
CPI_GOLD_2022-05-01,cpi_gold_v1,CPI,2022-05-01,2022-06-08,first_gold_session_on_or_after_release_timestamp,1851.900024,2022-06-08T08:30:00,291.298,288.561,0.9485,inflation_pressure_up,1848.800049,-0.167394,DOWN,1815.300049,-1.976347,DOWN,1740.599976,-6.010046,DOWN,20,"After CPI changed by 0.9485% on 2022-05-01, gold moved -6.010046% over 20 trading days (DOWN)."
CPI_GOLD_2022-06-01,cpi_gold_v1,CPI,2022-06-01,2022-07-13,first_gold_session_on_or_after_release_timestamp,1734.199951,2022-07-13T08:30:00,294.957,291.298,1.256102,inflation_pressure_up,1704.5,-1.712602,DOWN,1699.5,-2.00092,DOWN,1795.599976,3.540539,UP,20,"After CPI changed by 1.256102% on 2022-06-01, gold moved 3.540539% over 20 trading days (UP)."
CPI_GOLD_2022-07-01,cpi_gold_v1,CPI,2022-07-01,2022-08-10,first_gold_session_on_or_after_release_timestamp,1795.599976,2022-08-10T08:30:00,294.913,294.957,-0.014917,inflation_pressure_down,1789.699951,-0.328582,DOWN,1760.300049,-1.965913,DOWN,1708.0,-4.878591,DOWN,20,"After CPI changed by -0.014917% on 2022-07-01, gold moved -4.878591% over 20 trading days (DOWN)."
CPI_GOLD_2022-08-01,cpi_gold_v1,CPI,2022-08-01,2022-09-14,first_gold_session_on_or_after_release_timestamp,1696.5,2022-09-14T08:30:00,295.097,294.913,0.062391,inflation_pressure_up,1665.400024,-1.833185,DOWN,1664.599976,-1.880343,DOWN,1670.300049,-1.544353,DOWN,5,"After CPI changed by 0.062391% on 2022-08-01, gold moved -1.880343% over 5 trading days (DOWN)."
CPI_GOLD_2022-09-01,cpi_gold_v1,CPI,2022-09-01,2022-10-12,first_gold_session_on_or_after_release_timestamp,1670.300049,2022-10-12T08:30:00,296.349,295.097,0.424267,inflation_pressure_up,1670.0,-0.017964,FLAT,1627.5,-2.562417,DOWN,1710.099976,2.382801,UP,5,"After CPI changed by 0.424267% on 2022-09-01, gold moved -2.562417% over 5 trading days (DOWN)."
CPI_GOLD_2022-10-01,cpi_gold_v1,CPI,2022-10-01,2022-11-09,first_gold_session_on_or_after_release_timestamp,1710.099976,2022-11-09T08:30:00,298.007,296.349,0.559475,inflation_pressure_up,1750.300049,2.350744,UP,1773.0,3.678149,UP,1788.699951,4.596221,UP,20,"After CPI changed by 0.559475% on 2022-10-01, gold moved 4.596221% over 20 trading days (UP)."
CPI_GOLD_2022-11-01,cpi_gold_v1,CPI,2022-11-01,2022-12-14,first_gold_session_on_or_after_release_timestamp,1807.5,2022-12-14T08:30:00,298.786,298.007,0.261403,inflation_pressure_up,1777.199951,-1.676351,DOWN,1815.900024,0.464732,UP,1918.400024,6.135548,UP,20,"After CPI changed by 0.261403% on 2022-11-01, gold moved 6.135548% over 20 trading days (UP)."
CPI_GOLD_2022-12-01,cpi_gold_v1,CPI,2022-12-01,2023-01-11,first_gold_session_on_or_after_release_timestamp,1874.599976,2023-01-11T08:30:00,298.832,298.786,0.015396,inflation_pressure_up,1895.5,1.114906,UP,1922.099976,2.533874,UP,1866.199951,-0.448097,DOWN,5,"After CPI changed by 0.015396% on 2022-12-01, gold moved 2.533874% over 5 trading days (UP)."
